-1 1 1.876377 (0.6268, 29.4458, -3.4995) (0.0023, -0.1845, -0.1029, -0.9774) (0.2591, 29.9361, -4.0863) (0.2591, 29.9361, -4.0863) 36.02555 4.250308 93.18945
-1 1 1.905627 (0.6344, 29.4430, -3.5119) (0.0024, -0.1845, -0.1201, -0.9755) (0.2619, 29.9359, -4.0919) (0.2619, 29.9359, -4.0919) 35.92869 4.895378 93.19432
-1 1 1.93039 (0.6411, 29.4426, -3.5197) (0.0100, -0.1878, -0.1243, -0.9743) (0.2648, 29.9360, -4.0962) (0.2648, 29.9360, -4.0962) 36.34737 6.619682 92.92494
-1 1 1.969371 (0.6517, 29.4418, -3.5316) (0.0012, -0.1830, -0.1120, -0.9767) (0.2694, 29.9359, -4.1025) (0.2694, 29.9359, -4.1025) 35.72617 4.334862 93.30037
-1 1 1.997034 (0.6628, 29.4409, -3.5434) (-0.0094, -0.1850, -0.1041, -0.9772) (0.2750, 29.9358, -4.1093) (0.2750, 29.9358, -4.1093) 36.27481 2.309853 93.14033
-1 1 2.028343 (0.6738, 29.4405, -3.5560) (-0.0113, -0.1851, -0.0996, -0.9776) (0.2810, 29.9358, -4.1159) (0.2810, 29.9358, -4.1159) 36.35794 1.718883 93.1218
-1 1 2.053601 (0.6807, 29.4411, -3.5659) (-0.0053, -0.1783, -0.1022, -0.9786) (0.2861, 29.9353, -4.1205) (0.2861, 29.9353, -4.1205) 35.02808 2.608113 93.63601
-1 1 2.084145 (0.6912, 29.4429, -3.5814) (0.0113, -0.1655, -0.0951, -0.9816) (0.2935, 29.9345, -4.1272) (0.2935, 29.9345, -4.1272) 32.29438 5.33734 94.49832
-1 1 2.110733 (0.6987, 29.4431, -3.5925) (0.0160, -0.1482, -0.0887, -0.9848) (0.2993, 29.9336, -4.1321) (0.2993, 29.9336, -4.1321) 29.28448 5.648505 95.5547
-1 1 2.13868 (0.7095, 29.4431, -3.6092) (0.0310, -0.1325, -0.0955, -0.9861) (0.3076, 29.9326, -4.1388) (0.3076, 29.9326, -4.1388) 25.62776 8.580237 96.29597
-1 1 2.160772 (0.7161, 29.4429, -3.6209) (0.0508, -0.1264, -0.1152, -0.9840) (0.3134, 29.9317, -4.1434) (0.3134, 29.9317, -4.1434) 23.69644 12.91093 96.29012
-1 1 2.186375 (0.7249, 29.4428, -3.6289) (0.0527, -0.1215, -0.1215, -0.9837) (0.3193, 29.9306, -4.1484) (0.3193, 29.9306, -4.1484) 22.63115 13.31137 96.49165
-1 1 2.217574 (0.7386, 29.4422, -3.6446) (0.0505, -0.1219, -0.1152, -0.9845) (0.3279, 29.9296, -4.1552) (0.3279, 29.9296, -4.1552) 22.83958 12.74481 96.51903
-1 1 2.239753 (0.7479, 29.4416, -3.6544) (0.0468, -0.1323, -0.1124, -0.9837) (0.3336, 29.9293, -4.1595) (0.3336, 29.9293, -4.1595) 24.96835 12.17914 96.06377
-1 1 2.262555 (0.7550, 29.4409, -3.6650) (0.0495, -0.1277, -0.1153, -0.9838) (0.3389, 29.9292, -4.1641) (0.3389, 29.9292, -4.1641) 23.99154 12.68408 96.24718
-1 1 2.28888 (0.7606, 29.4397, -3.6751) (0.0425, -0.1170, -0.1145, -0.9856) (0.3434, 29.9291, -4.1692) (0.3434, 29.9291, -4.1692) 22.09065 11.05469 96.90097
-1 1 2.317921 (0.7695, 29.4388, -3.6885) (0.0296, -0.1098, -0.1041, -0.9881) (0.3499, 29.9292, -4.1763) (0.3499, 29.9292, -4.1763) 21.07271 8.126907 97.41609
-1 1 2.34006 (0.7745, 29.4396, -3.6963) (0.0182, -0.1063, -0.0906, -0.9900) (0.3534, 29.9295, -4.1811) (0.3534, 29.9295, -4.1811) 20.72451 5.528704 97.67256
-1 1 2.370188 (0.7783, 29.4420, -3.7041) (0.0189, -0.1125, -0.0825, -0.9900) (0.3560, 29.9301, -4.1859) (0.3560, 29.9301, -4.1859) 21.95811 5.592651 97.39879
-1 1 2.394828 (0.7832, 29.4450, -3.7157) (0.0221, -0.1111, -0.0700, -0.9911) (0.3597, 29.9307, -4.1925) (0.3597, 29.9307, -4.1925) 21.71846 5.935046 97.43246
-1 1 2.418432 (0.7851, 29.4469, -3.7227) (0.0224, -0.1061, -0.0610, -0.9922) (0.3612, 29.9308, -4.1968) (0.3612, 29.9308, -4.1968) 20.7871 5.742583 97.64701
-1 1 2.441436 (0.7872, 29.4483, -3.7287) (0.0224, -0.1059, -0.0540, -0.9927) (0.3624, 29.9309, -4.2011) (0.3624, 29.9309, -4.2011) 20.79057 5.587775 97.65517
-1 1 2.466328 (0.7895, 29.4502, -3.7336) (0.0238, -0.1188, -0.0503, -0.9914) (0.3627, 29.9308, -4.2051) (0.3627, 29.9308, -4.2051) 23.24276 5.912889 97.06355
-1 1 2.497332 (0.7918, 29.4530, -3.7421) (0.0299, -0.1321, -0.0497, -0.9895) (0.3629, 29.9308, -4.2111) (0.3629, 29.9308, -4.2111) 25.82485 7.229352 96.33338
-1 1 2.52022 (0.7919, 29.4549, -3.7484) (0.0362, -0.1378, -0.0572, -0.9881) (0.3623, 29.9309, -4.2151) (0.3623, 29.9309, -4.2151) 26.81402 8.725569 95.94176
-1 1 2.545284 (0.7924, 29.4567, -3.7544) (0.0328, -0.1432, -0.0511, -0.9878) (0.3610, 29.9313, -4.2191) (0.3610, 29.9313, -4.2191) 27.75042 7.930777 95.68424
-1 1 2.574581 (0.7929, 29.4598, -3.7628) (0.0271, -0.1501, -0.0370, -0.9876) (0.3589, 29.9320, -4.2247) (0.3589, 29.9320, -4.2247) 25.10823 7.883768 95.3474
-1 1 2.596729 (0.7911, 29.4622, -3.7684) (0.0268, -0.1501, -0.0283, -0.9879) (0.3567, 29.9327, -4.2283) (0.3567, 29.9327, -4.2283) 25.36731 7.76802 95.34713
-1 1 2.618305 (0.7877, 29.4646, -3.7738) (0.0309, -0.1461, -0.0270, -0.9884) (0.3541, 29.9334, -4.2318) (0.3541, 29.9334, -4.2318) 25.49331 7.798016 95.5417
-1 1 2.639833 (0.7837, 29.4663, -3.7779) (0.0300, -0.1487, -0.0308, -0.9879) (0.3509, 29.9338, -4.2351) (0.3509, 29.9338, -4.2351) 29.18579 6.843567 95.39838
-1 1 2.662385 (0.7791, 29.4678, -3.7818) (0.0291, -0.1572, -0.0343, -0.9865) (0.3472, 29.9341, -4.2383) (0.3472, 29.9341, -4.2383) 30.80591 6.81907 94.89151
-1 1 2.687299 (0.7733, 29.4694, -3.7859) (0.0294, -0.1604, -0.0347, -0.9860) (0.3431, 29.9342, -4.2413) (0.3431, 29.9342, -4.2413) 31.42702 6.90729 94.68111
-1 1 2.708819 (0.7660, 29.4715, -3.7900) (0.0360, -0.1559, -0.0333, -0.9866) (0.3387, 29.9344, -4.2440) (0.3387, 29.9344, -4.2440) 29.96439 7.765754 94.88279
-1 1 2.731013 (0.7576, 29.4733, -3.7934) (0.0410, -0.1553, -0.0310, -0.9865) (0.3335, 29.9344, -4.2466) (0.3335, 29.9344, -4.2466) 30.28106 8.79074 94.84077
-1 1 2.752768 (0.7484, 29.4747, -3.7962) (0.0399, -0.1578, -0.0294, -0.9862) (0.3279, 29.9347, -4.2491) (0.3279, 29.9347, -4.2491) 30.86583 8.789358 94.7026
-1 1 2.77439 (0.7379, 29.4761, -3.7983) (0.0384, -0.1628, -0.0305, -0.9854) (0.3216, 29.9350, -4.2513) (0.3216, 29.9350, -4.2513) 31.80969 8.569374 94.40313
-1 1 2.795971 (0.7258, 29.4776, -3.8001) (0.0385, -0.1677, -0.0340, -0.9845) (0.3147, 29.9356, -4.2532) (0.3147, 29.9356, -4.2532) 32.76226 8.729259 94.07638
-1 1 2.81831 (0.7113, 29.4792, -3.8019) (0.0424, -0.1666, -0.0442, -0.9841) (0.3072, 29.9361, -4.2549) (0.3072, 29.9361, -4.2549) 32.41269 9.820929 94.09004
-1 1 2.84073 (0.6961, 29.4810, -3.8030) (0.0437, -0.1614, -0.0486, -0.9847) (0.2993, 29.9368, -4.2563) (0.2993, 29.9368, -4.2563) 31.37095 10.17825 94.40671
-1 1 2.865723 (0.6805, 29.4830, -3.8032) (0.0435, -0.1602, -0.0460, -0.9850) (0.2908, 29.9375, -4.2573) (0.2908, 29.9375, -4.2573) 31.16934 10.03555 94.48736
-1 1 2.887307 (0.6645, 29.4851, -3.8030) (0.0438, -0.1656, -0.0434, -0.9843) (0.2820, 29.9382, -4.2580) (0.2820, 29.9382, -4.2580) 32.22594 10.06483 94.12841
-1 1 2.908913 (0.6476, 29.4872, -3.8025) (0.0429, -0.1642, -0.0376, -0.9848) (0.2729, 29.9389, -4.2583) (0.2729, 29.9389, -4.2583) 32.01756 9.695493 94.23725
-1 1 2.930237 (0.6295, 29.4894, -3.8017) (0.0427, -0.1616, -0.0320, -0.9854) (0.2635, 29.9395, -4.2584) (0.2635, 29.9395, -4.2584) 31.5569 9.413434 94.41341
-1 1 2.952573 (0.6104, 29.4912, -3.8007) (0.0443, -0.1599, -0.0283, -0.9857) (0.2538, 29.9399, -4.2583) (0.2538, 29.9399, -4.2583) 31.2939 9.307222 94.49622
-1 1 2.974175 (0.5909, 29.4927, -3.7996) (0.0447, -0.1608, -0.0260, -0.9856) (0.2440, 29.9402, -4.2581) (0.2440, 29.9402, -4.2581) 31.39325 9.348214 94.43161
-1 1 2.996678 (0.5708, 29.4940, -3.7985) (0.0440, -0.1589, -0.0239, -0.9860) (0.2342, 29.9405, -4.2577) (0.2342, 29.9405, -4.2577) 31.26464 9.306029 94.56001
-1 1 3.019074 (0.5504, 29.4953, -3.7978) (0.0433, -0.1541, -0.0219, -0.9869) (0.2245, 29.9411, -4.2574) (0.2245, 29.9411, -4.2574) 31.0407 9.078076 94.87758
-1 1 3.041561 (0.5300, 29.4973, -3.7978) (0.0450, -0.1507, -0.0218, -0.9873) (0.2148, 29.9420, -4.2572) (0.2148, 29.9420, -4.2572) 30.87952 9.210884 95.05565
-1 1 3.066922 (0.5094, 29.4996, -3.7984) (0.0492, -0.1465, -0.0269, -0.9876) (0.2051, 29.9429, -4.2573) (0.2051, 29.9429, -4.2573) 29.92256 9.880438 95.22424
-1 1 3.088186 (0.4896, 29.5021, -3.7989) (0.0513, -0.1421, -0.0307, -0.9880) (0.1959, 29.9437, -4.2573) (0.1959, 29.9437, -4.2573) 28.08384 10.83567 95.43707
-1 1 3.109456 (0.4711, 29.5047, -3.7995) (0.0534, -0.1380, -0.0300, -0.9885) (0.1868, 29.9444, -4.2575) (0.1868, 29.9444, -4.2575) 27.09515 11.31239 95.62241
-1 1 3.130705 (0.4532, 29.5072, -3.8001) (0.0553, -0.1345, -0.0311, -0.9889) (0.1778, 29.9451, -4.2577) (0.1778, 29.9451, -4.2577) 26.59616 11.5998 95.77221
-1 1 3.153094 (0.4359, 29.5094, -3.8006) (0.0575, -0.1286, -0.0319, -0.9895) (0.1691, 29.9455, -4.2581) (0.1691, 29.9455, -4.2581) 25.24365 12.121 96.0335
-1 1 3.174829 (0.4195, 29.5117, -3.8013) (0.0598, -0.1273, -0.0340, -0.9895) (0.1609, 29.9458, -4.2587) (0.1609, 29.9458, -4.2587) 24.90106 12.62354 96.04462
-1 1 3.197156 (0.4043, 29.5142, -3.8022) (0.0644, -0.1226, -0.0351, -0.9897) (0.1533, 29.9461, -4.2595) (0.1533, 29.9461, -4.2595) 23.82487 13.59838 96.16426
-1 1 3.2199 (0.3908, 29.5166, -3.8031) (0.0650, -0.1239, -0.0323, -0.9896) (0.1462, 29.9463, -4.2605) (0.1462, 29.9463, -4.2605) 24.10596 13.67215 96.08298
-1 1 3.241972 (0.3786, 29.5193, -3.8046) (0.0640, -0.1330, -0.0309, -0.9886) (0.1394, 29.9467, -4.2619) (0.1394, 29.9467, -4.2619) 25.81135 13.3624 95.64207
-1 1 3.267364 (0.3669, 29.5222, -3.8066) (0.0666, -0.1323, -0.0269, -0.9886) (0.1332, 29.9470, -4.2634) (0.1332, 29.9470, -4.2634) 25.77394 13.83396 95.61198
-1 1 3.288768 (0.3562, 29.5247, -3.8086) (0.0668, -0.1304, -0.0222, -0.9890) (0.1275, 29.9473, -4.2651) (0.1275, 29.9473, -4.2651) 25.49975 13.77037 95.70808
-1 1 3.310075 (0.3469, 29.5269, -3.8111) (0.0666, -0.1267, -0.0065, -0.9897) (0.1226, 29.9476, -4.2672) (0.1226, 29.9476, -4.2672) 25.03557 13.36416 95.9015
-1 1 3.331479 (0.3389, 29.5296, -3.8134) (0.0607, -0.1253, -0.0035, -0.9903) (0.1182, 29.9480, -4.2697) (0.1182, 29.9480, -4.2697) 24.88148 12.28337 96.12302
-1 1 3.35434 (0.3319, 29.5320, -3.8166) (0.0649, -0.1320, -0.0070, -0.9891) (0.1144, 29.9483, -4.2723) (0.1144, 29.9483, -4.2723) 25.90769 12.97751 95.67431
-1 1 3.37626 (0.3258, 29.5341, -3.8195) (0.0663, -0.1340, -0.0119, -0.9887) (0.1111, 29.9484, -4.2752) (0.1111, 29.9484, -4.2752) 26.22626 13.35104 95.52937
-1 1 3.39775 (0.3209, 29.5368, -3.8225) (0.0684, -0.1384, -0.0146, -0.9879) (0.1082, 29.9488, -4.2783) (0.1082, 29.9488, -4.2783) 26.95779 13.79855 95.23037
-1 1 3.419907 (0.3175, 29.5399, -3.8258) (0.0688, -0.1412, -0.0121, -0.9875) (0.1057, 29.9492, -4.2817) (0.1057, 29.9492, -4.2817) 27.24854 13.70439 95.06581
-1 1 3.442783 (0.3151, 29.5437, -3.8293) (0.0696, -0.1414, -0.0049, -0.9875) (0.1035, 29.9498, -4.2850) (0.1035, 29.9498, -4.2850) 27.44705 13.72334 95.03245
-1 1 3.469566 (0.3138, 29.5478, -3.8326) (0.0683, -0.1420, 0.0023, -0.9875) (0.1020, 29.9506, -4.2887) (0.1020, 29.9506, -4.2887) 27.1996 13.35373 95.0341
-1 1 3.498654 (0.3119, 29.5535, -3.8376) (0.0712, -0.1466, 0.0036, -0.9866) (0.0998, 29.9518, -4.2943) (0.0998, 29.9518, -4.2943) 27.70719 13.61932 94.68555
-1 1 3.520653 (0.3119, 29.5574, -3.8410) (0.0763, -0.1537, -0.0009, -0.9852) (0.0992, 29.9528, -4.2981) (0.0992, 29.9528, -4.2981) 29.89977 14.85038 94.11199
-1 1 3.545774 (0.3126, 29.5606, -3.8445) (0.0829, -0.1491, -0.0047, -0.9853) (0.0990, 29.9536, -4.3020) (0.0990, 29.9536, -4.3020) 28.92564 15.71787 94.17657
