-1 1 0.9029946 (0.4120, 29.8747, -3.9275) (-0.8539, -0.0490, 0.3979, 0.3319) (0.1635, 29.9644, -4.2568) (0.1635, 29.9644, -4.2568) -71.22771 52.74838 -46.29894
-1 1 0.9143129 (0.4110, 29.8747, -3.9268) (-0.8540, -0.0406, 0.3990, 0.3314) (0.1628, 29.9645, -4.2570) (0.1628, 29.9645, -4.2570) -70.84586 53.35051 -46.19861
-1 1 0.925238 (0.4097, 29.8746, -3.9262) (-0.8544, -0.0303, 0.3985, 0.3321) (0.1619, 29.9648, -4.2573) (0.1619, 29.9648, -4.2573) -70.11386 54.33089 -46.17569
-1 1 0.9368295 (0.4083, 29.8742, -3.9257) (-0.8550, -0.0199, 0.3975, 0.3326) (0.1612, 29.9650, -4.2575) (0.1612, 29.9650, -4.2575) -69.29081 55.29066 -46.27894
-1 1 0.9478168 (0.4070, 29.8736, -3.9253) (-0.8538, -0.0160, 0.3961, 0.3373) (0.1604, 29.9650, -4.2578) (0.1604, 29.9650, -4.2578) -68.7233 56.33952 -45.85805
-1 1 0.9591392 (0.4058, 29.8727, -3.9251) (-0.8526, -0.0157, 0.3935, 0.3434) (0.1593, 29.9651, -4.2581) (0.1593, 29.9651, -4.2581) -68.17611 57.32928 -45.44635
-1 1 0.9701112 (0.4051, 29.8719, -3.9250) (-0.8496, -0.0203, 0.3882, 0.3565) (0.1583, 29.9651, -4.2584) (0.1583, 29.9651, -4.2584) -67.40586 58.99446 -44.45338
-1 1 0.9810776 (0.4039, 29.8711, -3.9245) (-0.8453, -0.0226, 0.3837, 0.3712) (0.1571, 29.9653, -4.2587) (0.1571, 29.9653, -4.2587) -66.54086 61.02324 -42.99395
-1 1 0.9922582 (0.4028, 29.8700, -3.9235) (-0.8411, -0.0227, 0.3772, 0.3870) (0.1559, 29.9654, -4.2589) (0.1559, 29.9654, -4.2589) -65.21392 63.38691 -41.58414
-1 1 1.003305 (0.4017, 29.8687, -3.9224) (-0.8380, -0.0243, 0.3692, 0.4011) (0.1545, 29.9654, -4.2591) (0.1545, 29.9654, -4.2591) -63.81952 65.43127 -40.56866
-1 1 1.01465 (0.4005, 29.8667, -3.9210) (-0.8354, -0.0295, 0.3611, 0.4133) (0.1530, 29.9654, -4.2594) (0.1530, 29.9654, -4.2594) -62.77153 66.92342 -39.76167
-1 1 1.025396 (0.3995, 29.8641, -3.9193) (-0.8324, -0.0369, 0.3542, 0.4246) (0.1514, 29.9654, -4.2596) (0.1514, 29.9654, -4.2596) -62.09995 68.07687 -38.84763
-1 1 1.036666 (0.3986, 29.8612, -3.9171) (-0.8284, -0.0440, 0.3484, 0.4364) (0.1498, 29.9654, -4.2598) (0.1498, 29.9654, -4.2598) -61.5639 69.22943 -37.64534
-1 1 1.047503 (0.3979, 29.8582, -3.9143) (-0.8220, -0.0515, 0.3450, 0.4502) (0.1481, 29.9653, -4.2601) (0.1481, 29.9653, -4.2601) -61.34523 70.45702 -35.67317
-1 1 1.059269 (0.3970, 29.8553, -3.9111) (-0.8142, -0.0554, 0.3414, 0.4663) (0.1464, 29.9652, -4.2603) (0.1464, 29.9652, -4.2603) -60.75101 72.15555 -33.20977
-1 1 1.070051 (0.3959, 29.8525, -3.9077) (-0.8070, -0.0558, 0.3327, 0.4847) (0.1446, 29.9652, -4.2605) (0.1446, 29.9652, -4.2605) -59.10146 74.51919 -30.88535
-1 1 1.081143 (0.3946, 29.8496, -3.9042) (-0.8001, -0.0570, 0.3204, 0.5039) (0.1426, 29.9651, -4.2606) (0.1426, 29.9651, -4.2606) -57.00896 76.98577 -28.6909
-1 1 1.092167 (0.3933, 29.8463, -3.9003) (-0.7928, -0.0612, 0.3038, 0.5249) (0.1407, 29.9651, -4.2607) (0.1407, 29.9651, -4.2607) -54.5896 79.50326 -26.4426
-1 1 1.103125 (0.3922, 29.8425, -3.8959) (-0.7823, -0.0644, 0.2868, 0.5492) (0.1387, 29.9652, -4.2608) (0.1387, 29.9652, -4.2608) -51.94611 82.23255 -23.22527
-1 1 1.11483 (0.3913, 29.8385, -3.8912) (-0.7691, -0.0668, 0.2720, 0.5744) (0.1367, 29.9652, -4.2609) (0.1367, 29.9652, -4.2609) -49.51993 84.72885 -19.20413
-1 1 1.125716 (0.3905, 29.8336, -3.8860) (-0.7541, -0.0696, 0.2594, 0.5994) (0.1347, 29.9653, -4.2610) (0.1347, 29.9653, -4.2610) -47.4645 86.78224 -14.69565
-1 1 1.136844 (0.3897, 29.8283, -3.8807) (-0.7395, -0.0724, 0.2469, 0.6221) (0.1327, 29.9652, -4.2612) (0.1327, 29.9652, -4.2612) -45.52851 88.42356 -10.41301
-1 1 1.147757 (0.3890, 29.8224, -3.8748) (-0.7248, -0.0732, 0.2317, 0.6447) (0.1307, 29.9651, -4.2614) (0.1307, 29.9651, -4.2614) -43.01941 90.06538 -6.128421
-1 1 1.159035 (0.3881, 29.8167, -3.8688) (-0.7082, -0.0730, 0.2135, 0.6690) (0.1285, 29.9650, -4.2615) (0.1285, 29.9650, -4.2615) -40.00003 91.64133 -1.364205
-1 1 1.170013 (0.3870, 29.8104, -3.8621) (-0.6884, -0.0729, 0.1925, 0.6955) (0.1264, 29.9650, -4.2616) (0.1264, 29.9650, -4.2616) -36.63991 92.95277 4.159209
-1 1 1.181279 (0.3861, 29.8035, -3.8551) (-0.6673, -0.0741, 0.1700, 0.7213) (0.1242, 29.9650, -4.2616) (0.1242, 29.9650, -4.2616) -33.37704 93.75041 9.840392
-1 1 1.192448 (0.3853, 29.7961, -3.8478) (-0.6457, -0.0757, 0.1495, 0.7450) (0.1219, 29.9650, -4.2615) (0.1219, 29.9650, -4.2615) -30.58851 93.94217 15.46644
