0 1 1.590242 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.00281 35.37357 89.72794
0 1 1.601223 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.06665 35.41371 89.71333
0 1 1.612473 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.11671 35.52356 89.65857
0 1 1.623529 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 26.14952 35.71487 89.56481
1 1 1.63473 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.89344 35.4607 89.71433
1 1 1.646412 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.89817 35.47711 89.74768
1 1 1.656943 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.90947 35.48991 89.76852
1 1 1.668084 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.9523 35.45172 89.80717
1 1 1.679284 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.84679 35.40113 89.8569
1 1 1.690432 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.89462 35.39705 89.89809
1 1 1.701377 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.89042 35.37537 90.00257
1 1 1.71252 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.85683 35.36763 90.06284
1 1 1.723631 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.79509 35.36386 90.12025
1 1 1.735388 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.67368 35.36932 90.21213
1 1 1.74603 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.49576 35.37112 90.34657
1 1 1.756907 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 25.23757 35.3689 90.53227
1 1 1.768302 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 24.15702 35.29301 90.73804
1 1 1.779199 (0.3, 28.9, -3.4) (0.2, -0.1, 0.2, -1.0) (0.1, 29.6, -3.8) (0.1, 29.6, -3.8) 23.60396 35.22738 90.98435
